date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
2014/1/10 20:00,126,-20,-3,1031,cv,0.89,0,0
2014/1/10 21:00,126,-24,1,1031,cv,1.78,0,0
2014/1/10 22:00,106,-19,-5,1032,SE,1.79,0,0
2014/1/10 23:00,104,-20,-8,1032,SE,2.68,0,0
2014/1/11 0:00,118,-19,-9,1032,NE,0.89,0,0
2014/1/11 1:00,141,-19,-9,1032,NE,1.78,0,0
2014/1/11 2:00,199,-19,-9,1032,NW,1.79,0,0
2014/1/11 3:00,262,-19,-10,1032,NW,2.68,0,0
2014/1/11 4:00,234,-21,-10,1032,NW,4.47,0,0
2014/1/11 5:00,221,-19,-11,1032,cv,0.89,0,0
2014/1/11 6:00,177,-20,-12,1031,NW,0.89,0,0
2014/1/11 7:00,135,-20,-11,1031,NW,4.02,0,0
2014/1/11 8:00,108,-20,-11,1032,NE,1.79,0,0
2014/1/11 9:00,97,-18,-7,1032,cv,0.89,0,0
2014/1/11 10:00,87,-20,-3,1032,NW,1.79,0,0
2014/1/11 11:00,85,-21,-1,1031,NW,3.58,0,0
2014/1/11 12:00,81,-25,1,1030,NW,5.37,0,0
2014/1/11 13:00,82,-25,3,1029,cv,1.79,0,0
2014/1/11 14:00,81,-25,5,1028,NW,1.79,0,0
2014/1/11 15:00,111,-27,5,1027,cv,1.79,0,0
2014/1/11 16:00,143,-25,4,1027,SE,4.02,0,0
2014/1/11 17:00,153,-22,2,1027,SE,7.15,0,0
2014/1/11 18:00,189,-21,2,1028,SE,11.17,0,0
2014/1/11 19:00,244,-19,2,1029,SE,14.3,0,0
2014/1/11 20:00,273,-18,-4,1029,NW,0.89,0,0
2014/1/11 21:00,218,-19,-5,1030,NW,2.68,0,0
2014/1/11 22:00,227,-19,-1,1031,NW,6.7,0,0
2014/1/11 23:00,95,-19,-2,1032,cv,0.89,0,0
2014/1/12 0:00,20,-22,1,1032,NW,8.94,0,0
2014/1/12 1:00,0,-21,-1,1033,NW,16.09,0,0
2014/1/12 2:00,0,-24,-1,1034,NW,24.14,0,0
2014/1/12 3:00,0,-22,-3,1035,NW,29.95,0,0
2014/1/12 4:00,0,-23,-6,1035,NW,33.97,0,0
2014/1/12 5:00,0,-22,-7,1035,NW,37.99,0,0
2014/1/12 6:00,12,-24,-6,1036,NW,39.78,0,0
2014/1/12 7:00,12,-23,-7,1037,NW,42.91,0,0
2014/1/12 8:00,17,-22,-6,1038,cv,0.89,0,0
2014/1/12 9:00,33,-22,-2,1039,NW,1.79,0,0
2014/1/12 10:00,22,-23,0,1039,NW,3.58,0,0
2014/1/12 11:00,20,-26,1,1039,NE,1.79,0,0
2014/1/12 12:00,10,-26,1,1038,cv,0.89,0,0
2014/1/12 13:00,14,-27,2,1036,NW,4.02,0,0
2014/1/12 14:00,12,-27,2,1036,NW,8.04,0,0
2014/1/12 15:00,12,-27,4,1035,NW,12.06,0,0
2014/1/12 16:00,8,-27,3,1035,NW,16.98,0,0
2014/1/12 17:00,19,-27,2,1035,cv,3.13,0,0
2014/1/12 18:00,40,-26,1,1035,SE,3.13,0,0
2014/1/12 19:00,37,-25,0,1035,SE,7.15,0,0
